account_number,user_id,transaction_date_time,product_id,product_quantity,product_unit_price
955,wphippin0,2018-12-21 19:22:41,481,8,1670.29
38,ncisco1,2018-09-16 19:01:31,860,2,4117.29
880,dwallbrook2,2019-04-17 08:16:47,491,2,2279.98
678,mfike3,2018-09-04 10:47:57,247,4,4428.66
716,marsmith4,2019-08-31 06:26:13,671,10,1842.61
872,ltinton5,2018-07-18 14:46:13,526,10,4879.16
849,hpittendreigh6,2019-10-21 03:26:33,886,8,2420.52
210,ncohane7,2019-09-11 18:36:48,531,3,116.89
76,bwoodhams8,2019-05-11 13:14:25,978,1,772.36
114,nmatejic9,2017-12-21 07:33:22,37,10,2973.37
865,jbambridgea,2019-05-06 17:44:42,965,10,4934.4
637,nsimmankb,2019-01-15 01:57:35,628,8,1646.66
68,jbendonc,2019-04-29 08:46:47,764,1,2806.02
678,kcanetd,2019-11-10 06:51:26,750,2,176.54
432,ajaggerse,2019-10-15 14:16:08,724,4,2647.99
25,gnylandf,2019-09-30 11:41:03,521,6,4438.09
849,wboatswaing,2019-09-26 12:31:08,430,4,3480.45
38,dandreolettih,2018-10-31 18:36:44,281,1,4139.22
311,mlorinczi,2018-10-14 03:11:13,181,10,1079.43
574,bclintj,2019-08-07 19:02:14,905,8,2224.46
850,cpetracekk,2018-05-22 14:19:06,716,3,3287.56
472,plocktonl,2018-03-07 23:45:04,192,3,4979.87
98,corchardm,2019-08-03 04:22:59,983,2,4717.3
708,ecolchettn,2018-03-12 22:11:43,269,2,1469.56
384,jcrusto,2018-05-22 00:33:44,122,1,2145.41
277,qrogierp,2019-03-18 03:10:15,116,4,329.96
114,fjeffriesq,2019-05-29 21:04:47,685,8,4451.56
89,rmattusevichr,2018-03-01 12:53:14,110,10,1413.26
619,dwinketts,2018-12-01 10:35:21,44,3,1354.18
916,kcowderyt,2019-09-30 14:42:45,197,6,2189.08
9,ethibodeauxu,2018-07-02 23:46:54,830,1,4116.15
245,kovenv,2019-10-18 12:17:08,874,10,2095.26
401,goneliganw,2018-06-30 10:50:38,423,2,3297.64
858,bbartlomiejczykx,2019-11-05 22:03:21,764,5,498.76
444,ladshady,2018-01-15 09:17:16,633,2,488.33
783,mivachyovz,2019-10-09 11:44:55,776,5,1747.06
352,bfinker10,2018-10-25 12:01:47,817,1,1762.98
31,hyetman11,2018-02-28 22:02:07,563,1,694.58
401,vdoggett12,2019-05-07 21:47:33,410,8,922.85
999,jkocher13,2019-01-19 16:07:48,74,10,3351.15
912,gdolby14,2018-09-17 08:38:29,943,10,1664.63
802,gflowitt15,2019-11-10 10:02:44,27,2,2517.78
671,dgillings16,2019-03-30 22:20:23,815,8,181.42
515,ekrystek17,2019-08-27 06:43:03,758,3,2417.5
113,kspeak18,2019-06-15 06:34:56,654,8,1496.08
744,kdominici19,2019-07-13 13:41:48,961,10,1491.77
933,dspirit1a,2018-05-02 19:20:16,988,3,2149.65
841,cdalgarnowch1b,2018-11-24 07:39:39,75,8,633.89
659,nmcgray1c,2019-02-14 19:44:54,62,5,3216.25
42,olapree1d,2019-10-22 03:46:01,561,9,926.9
472,gough1e,2019-11-28 20:35:10,387,6,2558.91
81,sossipenko1f,2018-01-11 13:41:58,311,5,2301.26
162,cpoundesford1g,2018-10-10 15:59:07,389,2,586.72
919,ghatcher1h,2019-02-11 12:56:08,281,4,1868.46
177,amacnally1i,2018-07-31 21:08:43,318,6,2697.61
819,aandriss1j,2018-04-03 13:13:35,154,10,4598.04
796,flettington1k,2018-03-15 02:19:22,183,7,818.72
397,bhathorn1l,2018-05-12 20:12:55,928,8,1792.4
898,tpepi1m,2018-09-19 14:44:55,755,7,2765.55
691,mtapscott1n,2019-03-27 06:00:28,761,10,227.65
997,kscriviner1o,2018-08-22 13:50:28,370,3,18.45
195,mcawtheray1p,2019-07-14 10:27:38,102,8,238.73
76,mmusprat1q,2018-03-28 04:42:05,864,9,3493.42
943,rbaudassi1r,2018-01-12 18:31:23,741,6,3639.95
823,oemloch1s,2019-06-09 05:25:13,2,6,641.36
38,ipillington1t,2018-07-17 10:35:43,478,1,212.66
774,gcuerda1u,2018-02-27 19:34:13,48,5,3825.54
535,vbinning1v,2019-09-06 08:11:59,276,1,736.21
958,dbirrane1w,2019-07-26 20:43:42,259,7,4829.97
374,nremmer1x,2018-03-15 19:38:48,184,7,4745.55
680,ebrecken1y,2019-12-03 03:40:28,408,10,3718.67
114,dtresler1z,2019-12-08 22:47:11,257,1,1775.51
965,ztulleth20,2018-04-29 05:13:38,687,7,2923.1
230,llicciardiello21,2018-04-04 02:41:38,781,7,1867.0
681,tleatham22,2018-12-07 08:04:06,586,10,4785.94
407,sbeatty23,2019-06-14 17:16:30,117,8,4204.08
820,mmatthai24,2019-11-21 22:10:30,374,7,4000.32
190,pgipson25,2019-12-07 11:51:03,683,10,4694.36
61,gfayerman26,2019-06-27 20:25:03,633,10,2532.23
517,wfussey27,2019-07-05 17:52:42,101,1,4656.41
75,acarlin28,2018-03-05 14:38:28,977,7,3328.13
957,dwellan29,2018-04-03 02:20:23,181,6,3958.06
901,tsloy2a,2018-02-13 14:24:11,678,10,431.44
227,cshaughnessy2b,2019-03-09 23:29:28,562,5,1501.61
617,jkellen2c,2019-04-17 11:02:30,775,6,3829.8
710,bprozescky2d,2019-07-13 18:25:47,644,8,2434.2
734,mcornall2e,2019-10-25 08:20:53,356,8,3732.66
480,gmurkitt2f,2018-09-23 22:07:28,520,3,4093.12
324,nburnhill2g,2018-08-10 07:47:41,119,8,4669.24
853,ransley2h,2018-07-21 01:28:42,161,10,4077.23
122,nkippins2i,2019-10-19 08:12:39,113,5,1649.27
761,aruzic2j,2019-06-23 12:37:56,575,1,2501.13
511,jbeningfield2k,2018-11-04 02:38:38,828,8,1921.85
2,bgarthside2l,2018-06-10 13:02:22,969,7,3165.38
329,dmcsaul2m,2018-10-30 05:31:34,290,7,172.34
457,sskone2n,2018-09-22 04:37:39,275,9,3182.1
728,sbeneze2o,2019-04-16 06:37:41,932,6,4021.41
766,nramirez2p,2018-11-23 19:43:17,535,1,1746.59
814,nbaumert2q,2018-05-29 09:28:48,406,10,334.57
823,olamy2r,2018-09-23 09:33:25,459,6,1118.2
692,kgraybeal2s,2018-11-28 11:56:29,474,1,2430.54
141,tmiddleditch2t,2018-05-15 18:10:14,869,9,2315.91
93,sbernardos2u,2019-04-24 17:18:56,911,9,4528.46
11,callone2v,2019-06-01 06:59:54,960,7,2394.78
